,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,polarité_contexte,temporalité,positionnement_contexte,,FALSE
1388,"Il lui manque encore de la mixité selon les 226 professionnels interrogés pour l'enquête : 8 restaurants pour 10.000 employés, c'est un peu moins que dans le quartier de Zuidas à Amsterdam qui en compte 10 et loin derrière New York ou Pudong, dans le quartier d'affaire de Shanghai où ce ratio atteint 40.                La part d'irrationnel Bien que 85 % des salariés empruntent les transports en commun,",la Défense,n'est pas bien placée pour la qualité de l'air qu'on y respire.,norme,NA,NA,NA,vie quotidienne,négatif,présent,pris en charge,,
1389,"La part d'irrationnel Bien que 85 % des salariés empruntent les transports en commun,la Défense n'est pas bien placée pour la qualité de l'air qu'on y respire.En revanche le ratio habitants/employés y a fait un bond de près de 10 % en quatre ans, grâce à l'extension",du quartier,vers Nanterre.,type lieu,urbanisme,neutre,pris en charge,vie quotidienne,positif,présent,pris en charge,,
1391,"En revanche le ratio habitants/employés y a fait un bond de près de 10 % en quatre ans, grâce à l'extension du quartier vers Nanterre.Et l'ouverture récente de l'U Arena, une salle de 40.000 places devrait aider à améliorer l'image",d'un quartier froid et vide,après 18 heures que beaucoup ont encore en tête.,type lieu,espace de vie/urbanisme,positif,pris en charge,vie quotidienne,positif,futur,pris en charge,,
1393,"Suivez les astuces de Jeannot LeCyclo !  Sur sa page YouTube, Jean diffuse des vidéos où il montre les meilleurs passages pour accéder",au quartier d'affaires,", pas toujours simple à aborder à deux-roues.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1394,,la défense,Par Jeanne Cassard Vous vous êtes déjà retrouvé bloqué à vélo devant un escalator à La Défense ?,norme,NA,NA,NA,NA,NA,NA,NA,,
1395,la défense   Par Jeanne Cassard Vous vous êtes déjà retrouvé bloqué à vélo devant un escalator,à La Défense,?,norme,NA,NA,NA,NA,NA,NA,NA,,
1396,"Jean aussi.C'est ce qui a donné l'idée à ce passionné de 26 ans d'investir les réseaux sociaux, sous le pseudo de Jeannot LeCyclo, pour prodiguer de précieux conseils à ceux qui souhaitent accéder",au quartier d'affaires, à deux-roues.		,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1397,"Sa cible : les vélotaffeurs, ces salariés qui effectuent leurs trajets domicile-travail à bicyclette.« Depuis deux ans, il y a vraiment un boum du nombre de cyclistes",à La Défense,"», constate Jean.",norme,NA,NA,NA,vie quotidienne,neutre,présent,cité,,
1398,"« Depuis deux ans, il y a vraiment un boum du nombre de cyclistes à La Défense», constate Jean.  Autorisés depuis 2015 après quinze ans d'interdiction, les déplacements à vélo restent en effet très compliqués à",La Défense,.,norme,NA,NA,NA,vie quotidienne,négatif,présent,pris en charge,,
1399,"Autorisés depuis 2015 après quinze ans d'interdiction, les déplacements à vélo restent en effet très compliqués à La Défense.« Il n'est pas évident de se déplacer ici entre les escalators, l'absence de pistes cyclables et l'affluence aux heures de pointe », constate le jeune homme, qui s'apprête à démarrer un emploi dans l'une des tours",du quartier,.		,type lieu,urbanisme,neutre,pris en charge,vie quotidienne,négatif,présent,cité,,
1401,"« Sur l'esplanade, on peut circuler, précise-t-il.Ce qui est beaucoup plus compliqué c'est rejoindre",La Défense,"lorsqu'on arrive des communes limitrophes comme Puteaux, Courbevoie ou Nanterre.",norme,NA,NA,NA,vie quotidienne,négatif,présent,cité,,
1406,"Une fois arrivé au niveau du bassin Takis, sur la dalle, il conseille de remonter sur le côté gauche de l'esplanade.		En tout, Jean a ainsi répertorié 17 passages différents pour entrer ",dans le quartier,.,type lieu,urbanisme,neutre,pris en charge,vie quotidienne,neutre,présent,pris en charge,,
1407,"L'objectif est de montrer comment le vélo peut être agréable.»		Depuis qu'il a publié ses vidéos, Jean a été contacté par le service dédié aux mobilités de Paris la défense, le gestionnaire ",du quartier d'affaires,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1408,y a trouvé une oreille attentive.Car à la tête,de La Défense,", on a bien compris que la montée en puissance des mobilités douces était un enjeu.",norme,NA,NA,NA,vie quotidienne,neutre,futur,pris en charge,,
1409,Et des panneaux de signalétiques spécifiques doivent être posés d'ici 2020 « afin d'améliorer la cohabitation avec les autres usagers ».                Le pôle mobilité a aussi prévu de reprendre et d'adapter la cartographie dressée par Jean des différents itinéraires pour rejoindre ,La Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,,
1411,"Le pôle mobilité a aussi prévu de reprendre et d'adapter la cartographie dressée par Jean des différents itinéraires pour rejoindre La Défense.En revanche, la création de pistes cyclables n'est pas envisageable : le parvis",de La Défense,et ses passerelles d'accès demeurent une aire à vocation prioritairement piétonne.,norme,NA,NA,NA,NA,NA,NA,NA,,
1412,Saviez-vous que notre région accueille une start-up française sur deux ?Que,la Défense,est le premier quartier d'affaires en Europe ?,norme,NA,NA,NA,économie,positif,présent,cité,,
1413,"Il y a deux ans, une carcasse de pigeon, découverte sur le toit de la mairie, avait attesté du passage d'un faucon pèlerin.Vraisemblablement un des individus du couple qui niche depuis des années",à La Défense,.,norme,NA,NA,NA,événement,neutre,présent,pris en charge,,
1414,"Cet oiseau chasse ou effraie les pigeons et évite qu'ils pullulent », poursuit Alain Cléty.Peine perdue, pour l'instant les faucons",de la défense,préfèrent encore le quartier d'affaires à la ville populaire...,norme,NA,NA,NA,événement,neutre,présent,pris en charge,,
1415,"Cet oiseau chasse ou effraie les pigeons et évite qu'ils pullulent », poursuit Alain Cléty.Peine perdue, pour l'instant les faucons de la défense préfèrent encore",le quartier d'affaires,à la ville populaire...,type lieu,économie,neutre,pris en charge,événement,neutre,présent,pris en charge,,
1416,Secrets DéfenseUne exposition vous invite à découvrir comment,le quartier d'affaires,"a vu le jour et ses projets les plus fous, dont certains n'ont pas abouti.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1417,,la défense,		Par Victor Tassel		Plus de cent ans d'histoire.,norme,NA,NA,NA,NA,NA,NA,NA,,
1418,"la défense		Par Victor Tassel		Plus de cent ans d'histoire.Jusqu'au 30 juin 2017, une exposition propose de découvrir, aux archives départementales, à Nanterre, comment ",La Défense,est sortie de terre.,norme,NA,NA,NA,urbanisme,neutre,passé,cité,,
1419,«Tours et détours : histoire,de La Défense,(1883,norme,NA,NA,NA,urbanisme,neutre,passé,cité,,
1420,"Tours et détours : histoire de La Défense(1883-1989) », elle couvre une période qui s'étend de l'inauguration de la statue de Jean-Ernest Barrias, qui a donné son nom",au quartier d'affaires,", à celle de La Grande Arche.",type lieu,économie,neutre,pris en charge,urbanisme,neutre,passé,cité,,
1423,"avec Defacto - gestionnaire du quartier-, la manifestation propose plus de dix maquettes qui retracent l'évolution du secteur, des plans originaux d'architectes...On découvre",le quartier d'affaires,et ses secrets.,type lieu,économie,neutre,pris en charge,urbanisme,neutre,passé,cité,,
1424,"Elle représente un soldat qui tourne le dos à Paris et donne le sentiment qu'il défend la ville.De son nom,« la Défense de Paris», sortira celui",du quartier d'affaires,.,type lieu,économie,neutre,pris en charge,urbanisme,neutre,passé,pris en charge,,
1425,"Avant le métro, le RER, les bus, il n'y avait rien.Pour rendre",le quartier,"accessible, un tapis roulant et des télésièges ont d'abord été imaginés.",type lieu,urbanisme,neutre,pris en charge,urbanisme,neutre,passé,pris en charge,,
1427,"Sans qu'aucune suite ne soit donnée à cette idée... farfelue.		Une fusée pour « casser l'axe » Bien avant la Grande Arche, des propositions se sont fait jour pour « casser l'axe » ",du quartier,.,type lieu,urbanisme,neutre,pris en charge,NA,NA,NA,NA,,
1437,Une fresque au milieu de la Grande Arche Invisible depuis l'extérieur.« La Fresque monumentale » est l'oeuvre la plus complexe et la plus grande en taille,de La Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,,
1439,"Opération séduction aux universités d'été du Medef  Pendant deux jours, l'établissement public Paris",La Défense,va assurer la promotion du  quartier d'affaires auprès des patrons.,norme,NA,NA,NA,économie,neutre,présent,pris en charge,,
1440,"Opération séduction aux universités d'été du Medef  Pendant deux jours, l'établissement public ParisLa Défense va assurer la promotion",du  quartier d'affaires,auprès des patrons.,type lieu,économie,neutre,pris en charge,économie,neutre,présent,pris en charge,,
1441,,la défense,La ville veut séduire les patrons.,norme,NA,NA,NA,économie,neutre,présent,pris en charge,,
1442,la défense La ville veut séduire les patrons.Chargé de l'aménagement et la gestion,du quartier d'affaires,", l'établissement Paris",type lieu,économie,neutre,pris en charge,économie,neutre,présent,pris en charge,,
1443,"Il sera donc présent à la rencontre des entrepreneurs de France (la Ref), l'université d'été du Medef, organisée sur l'hippodrome de Longchamp mercredi et jeudi.                L'objectif de cette première participation : convaincre de nouvelles entreprises de rejoindre ",le quartier d'affaires qui accueille déjà plus de 500 entreprises et 180 000 salariés,.,,,,,économie,neutre,présent,pris en charge,,
1444,"Pendant deux jours, l'établissement ParisLa Défense et ses partenaires vont présenter dans les détails les projets phare",du quartier,.,type lieu,urbanisme,neutre,pris en charge,économie,neutre,présent,pris en charge,,
1445,"Mais pas seulement.Ils mettront aussi en avant les 3,5 millions de m 2 de bureaux répartis dans plus de soixante-dix immeubles ou encore les 17 000 m² d'espaces de coworking que compte",le quartier,.,type lieu,urbanisme,neutre,pris en charge,économie,neutre,présent,pris en charge,,
1446,"Un dispositif de réalité augmentée Bien décidés à changer l'aspect parfois « mono fonctionnel » de l'endroit, les décideurs de Paris",La Défense," tenteront de démontrer que le quartier est un endroit où il fait bon travailler mais aussi bon vivre, en insistant sur les expos, les restaurants branchés ou encore les soixante-treize oeuvres d'art de renom dispersées sur le territoire.		",norme,NA,NA,NA,économie,neutre,présent,pris en charge,,
1447,"Un dispositif de réalité augmentée Bien décidés à changer l'aspect parfois « mono fonctionnel » de l'endroit, les décideurs de ParisLa Défense tenteront de démontrer que",le quartier," est un endroit où il fait bon travailler mais aussi bon vivre, en insistant sur les expos, les restaurants branchés ou encore les soixante-treize oeuvres d'art de renom dispersées sur le territoire.		",type lieu,urbanisme,neutre,pris en charge,économie,neutre,présent,pris en charge,,
1448,«Ce rendez-vous est un formidable moyen de valoriser la transformation,du quartier,"auprès d'une cible de dirigeants et de chefs d'entreprise » estime Patrick Devedjian, président du département mais aussi de Paris",type lieu,urbanisme,neutre,pris en charge,économie,positif,présent,cité,,
1449,,La Défense,,norme,NA,NA,NA,NA,NA,NA,NA,,
1450,La DéfenseL'aménageur,du  quartier d'affaires,a,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1451,,la défense,,norme,NA,NA,NA,NA,NA,NA,NA,,
1452,la défenseL'aménageur,du quartier d'affaires,a publié son baromètre de satisfaction 2019.,type lieu,économie,neutre,pris en charge,vie quotidienne,neutre,présent,pris en charge,,
1453,L'aménageur du quartier d'affaires a publié son baromètre de satisfaction 2019.Pour 97 % des habitants,Paris La Défense,est agréable à vivre.,référence géographique,localisation,neutre,pris en charge,vie quotidienne,positif,présent,pris en charge,,
1454,Mais il sera déclaré civilement responsable de la fusillade par la justice et condamné à des dommages et intérêts.		Le patron de ,La Défense,"De 1987 à 1989, puis de 1993 à 1998, il a présidé le conseil d'administration de l'Epad (Etablissement public d'aménagement de la défense).",norme,NA,NA,NA,administration,neutre,passé,pris en charge,,
1455,"Mais il sera déclaré civilement responsable de la fusillade par la justice et condamné à des dommages et intérêts.                Le patron de La Défense De 1987 à 1989, puis de 1993 à 1998, il a présidé le conseil d'administration de l'Epad (Etablissement public d'aménagement ",de la défense,).,norme,NA,NA,NA,administration,neutre,passé,pris en charge,,
